date,at,source,year,mon,day,seas
1922-11-01,2.9,noaa,1922,11,1,1922-1923
1922-11-02,3.8,noaa,1922,11,2,1922-1923
1922-11-03,5.5,noaa,1922,11,3,1922-1923
1922-11-04,-1.6,noaa,1922,11,4,1922-1923
1922-11-05,-7.4,noaa,1922,11,5,1922-1923
1922-11-06,-3.8,noaa,1922,11,6,1922-1923
1922-11-07,-3.4,noaa,1922,11,7,1922-1923
1922-11-08,3.0,noaa,1922,11,8,1922-1923
1922-11-09,4.9,noaa,1922,11,9,1922-1923
1922-11-10,-1.5,noaa,1922,11,10,1922-1923
1922-11-11,-3.5,noaa,1922,11,11,1922-1923
1922-11-12,-1.8,noaa,1922,11,12,1922-1923
1922-11-13,0.4,noaa,1922,11,13,1922-1923
1922-11-14,1.4,noaa,1922,11,14,1922-1923
1922-11-15,2.7,noaa,1922,11,15,1922-1923
1922-11-16,3.2,noaa,1922,11,16,1922-1923
1922-11-17,3.3,noaa,1922,11,17,1922-1923
1922-11-18,6.3,noaa,1922,11,18,1922-1923
1922-11-19,12.1,noaa,1922,11,19,1922-1923
1922-11-20,10.0,noaa,1922,11,20,1922-1923
1922-11-21,9.4,noaa,1922,11,21,1922-1923
1922-11-22,8.6,noaa,1922,11,22,1922-1923
1922-11-23,5.2,noaa,1922,11,23,1922-1923
1922-11-24,10.0,noaa,1922,11,24,1922-1923
1922-11-25,10.4,noaa,1922,11,25,1922-1923
1922-11-26,-1.3,noaa,1922,11,26,1922-1923
1922-11-27,-2.3,noaa,1922,11,27,1922-1923
1922-11-28,0.2,noaa,1922,11,28,1922-1923
1922-11-29,6.2,noaa,1922,11,29,1922-1923
1922-11-30,1.5,noaa,1922,11,30,1922-1923
1922-12-01,-1.9,noaa,1922,12,1,1922-1923
1922-12-02,-2.8,noaa,1922,12,2,1922-1923
1922-12-03,-0.7,noaa,1922,12,3,1922-1923
1922-12-04,1.8,noaa,1922,12,4,1922-1923
1922-12-05,6.1,noaa,1922,12,5,1922-1923
1922-12-06,2.6,noaa,1922,12,6,1922-1923
1922-12-07,-0.4,noaa,1922,12,7,1922-1923
1922-12-08,3.5,noaa,1922,12,8,1922-1923
1922-12-09,5.4,noaa,1922,12,9,1922-1923
1922-12-10,2.3,noaa,1922,12,10,1922-1923
1922-12-11,-1.8,noaa,1922,12,11,1922-1923
1922-12-12,-5.5,noaa,1922,12,12,1922-1923
1922-12-13,1.4,noaa,1922,12,13,1922-1923
1922-12-14,1.6,noaa,1922,12,14,1922-1923
1922-12-15,0.5,noaa,1922,12,15,1922-1923
1922-12-16,2.8,noaa,1922,12,16,1922-1923
1922-12-17,-0.9,noaa,1922,12,17,1922-1923
1922-12-18,0.5,noaa,1922,12,18,1922-1923
1922-12-19,-1.8,noaa,1922,12,19,1922-1923
1922-12-20,-7.3,noaa,1922,12,20,1922-1923
1922-12-21,-1.7,noaa,1922,12,21,1922-1923
1922-12-22,-0.5,noaa,1922,12,22,1922-1923
1922-12-23,-1.3,noaa,1922,12,23,1922-1923
1922-12-24,-1.3,noaa,1922,12,24,1922-1923
1922-12-25,-9.0,noaa,1922,12,25,1922-1923
1922-12-26,-9.9,noaa,1922,12,26,1922-1923
1922-12-27,-8.4,noaa,1922,12,27,1922-1923
1922-12-28,-7.1,noaa,1922,12,28,1922-1923
1922-12-29,-9.1,noaa,1922,12,29,1922-1923
1922-12-30,-5.7,noaa,1922,12,30,1922-1923
1922-12-31,-7.6,noaa,1922,12,31,1922-1923
1923-01-01,-11.2,noaa,1923,1,1,1922-1923
1923-01-02,-13.4,noaa,1923,1,2,1922-1923
1923-01-03,-14.6,noaa,1923,1,3,1922-1923
1923-01-04,-11.2,noaa,1923,1,4,1922-1923
1923-01-05,-7.7,noaa,1923,1,5,1922-1923
1923-01-06,-5.8,noaa,1923,1,6,1922-1923
1923-01-07,-11.2,noaa,1923,1,7,1922-1923
1923-01-08,-9.2,noaa,1923,1,8,1922-1923
1923-01-09,-6.0,noaa,1923,1,9,1922-1923
1923-01-10,-4.6,noaa,1923,1,10,1922-1923
1923-01-11,-6.0,noaa,1923,1,11,1922-1923
1923-01-12,-11.6,noaa,1923,1,12,1922-1923
1923-01-13,-16.2,noaa,1923,1,13,1922-1923
1923-01-14,-17.5,noaa,1923,1,14,1922-1923
1923-01-15,-8.0,noaa,1923,1,15,1922-1923
1923-01-16,-7.8,noaa,1923,1,16,1922-1923
1923-01-17,-4.3,noaa,1923,1,17,1922-1923
1923-01-18,-2.7,noaa,1923,1,18,1922-1923
1923-01-19,-9.1,noaa,1923,1,19,1922-1923
